25,45,60,76,79
13,30,58,63,64
5,15,32,33,48
27,57,60,61,77
19,44,53,54,71
4,45,54,65,67
9,21,37,42,68
5,16,26,28,62
4,15,44,64,73
20,32,49,54,62
17,33,52,60,76
1,28,56,65,79
13,33,38,39,72
44,52,60,64,68
2,25,54,63,66
11,24,63,64,69
1,14,26,34,72
6,29,40,63,72
12,21,42,60,66
13,16,31,39,70
5,15,38,48,77
7,9,11,25,75
1,15,63,72,77
9,44,57,67,68
2,29,46,69,76
10,15,22,55,79
5,36,39,70,78
8,26,28,29,30
20,23,31,35,76
12,13,14,56,60
43,51,54,69,73
9,23,31,60,80
21,31,44,65,74
17,45,64,67,69
44,52,54,56,60
42,56,62,65,79
9,26,31,36,65
11,12,57,59,69
5,7,21,28,70
2,18,31,38,49
5,14,31,41,49
15,33,39,76,78
5,18,21,41,71
2,7,57,59,76
2,3,27,64,65
30,49,72,78,80
10,18,22,31,73
20,39,72,73,76
10,19,39,52,66
4,10,15,42,45
2,20,26,42,79
6,39,41,61,64
40,42,48,64,69
13,21,32,33,66
12,14,60,66,68
5,18,24,43,48
31,49,52,63,71
34,41,50,67,77
20,35,37,42,71
19,25,32,68,71
27,54,63,71,77
3,12,24,36,40
11,40,50,74,78
25,43,52,59,75
3,25,60,62,75
66,73,75,76,79
5,23,36,67,70
7,52,68,69,76
16,61,65,72,78
5,25,52,57,62
27,55,66,73,75
12,23,39,54,72
6,17,49,65,70
41,47,49,70,74
4,27,46,53,55
3,23,58,62,74
6,9,27,43,65
2,19,50,59,69
4,18,55,57,74
35,42,55,60,78
13,31,45,56,63
13,34,55,64,80
17,20,30,33,68
1,8,13,53,61
3,20,27,32,61
13,49,57,67,78
18,29,37,51,57
11,25,49,51,53
2,32,40,53,54
8,16,32,74,79
7,30,33,52,69
11,25,29,42,66
4,6,27,68,74
1,19,59,65,80
6,43,50,63,71
4,50,51,52,77
5,6,16,54,70
4,16,17,35,49
2,9,17,66,76
33,36,56,58,60
12,27,28,30,36
5,23,50,65,67
12,16,53,64,66
20,30,36,48,53
3,7,45,46,65
20,21,43,45,67
2,3,30,39,72
1,19,50,52,54
1,21,27,48,78
1,19,27,36,57
15,42,54,68,76
31,41,75,76,79
12,14,42,61,69
10,20,44,58,65
2,21,38,54,73
16,20,34,56,57
7,11,24,42,49
14,23,26,56,77
2,16,19,26,27
7,39,48,58,62
19,22,53,69,77
2,8,12,53,54
8,20,64,68,73
10,11,12,23,37
10,13,22,50,66
4,12,63,78,80
14,18,59,60,64
17,24,47,49,66
5,9,12,23,71
18,34,38,40,43
13,32,56,73,74
19,25,63,74,77
13,18,43,47,53
10,28,60,62,74
2,53,57,62,64
9,19,24,59,61
13,14,37,66,75
13,23,37,56,80
14,52,54,65,77
32,43,50,57,75
6,51,53,54,57
15,21,56,79,80
14,27,39,48,61
16,24,42,71,75
2,8,40,55,60
12,18,21,31,69
1,18,52,67,72
32,33,43,46,52
8,16,18,22,73
12,24,26,39,40
22,23,42,54,65
5,14,31,38,75
2,10,11,15,66
67,64,9,5,41
12,30,48,70,75
7,12,29,54,55
42,50,52,66,72
2,27,35,44,55
4,11,24,25,32
8,25,42,60,63
13,29,41,61,74
20,25,57,67,78
9,14,16,52,71
7,9,19,45,80
12,21,27,45,75
2,31,41,43,44
20,33,62,63,69
15,26,30,44,69
3,15,30,56,72
18,22,27,74,75
12,18,37,47,56
37,38,57,67,79
22,29,34,42,51
11,16,23,44,48
29,60,64,72,79
1,27,29,36,73
9,33,48,67,73
5,14,15,66,68
30,60,65,68,75
1,20,23,25,49
6,21,31,37,64
9,44,46,57,59
20,33,48,69,70
62,22,38,29,58
9,24,28,31,45
6,20,21,46,63
2,43,45,64,68
28,43,56,57,77
1,5,52,53,71
21,29,46,59,76
4,7,19,35,56
16,37,54,68,77
12,13,51,67,73
14,19,32,37,45
8,23,50,65,73
10,27,30,72,78
3,27,30,33,59
6,14,18,71,73
3,31,47,77,79
19,21,64,70,72
7,71,73,76,79
6,37,43,61,62
3,13,17,47,60
7,11,21,51,58
4,9,31,40,58
1,10,36,62,64
5,7,12,16,66
3,24,48,52,71
26,37,61,67,71
10,14,32,53,61
3,11,19,31,39
38,46,50,65,69
5,13,14,34,63
10,19,24,34,72
37,46,49,62,73
31,32,34,54,59
8,41,56,65,74
17,26,31,33,63
3,19,32,59,63
19,35,38,39,78
45,69,72,77,79
3,24,27,58,69
10,21,43,64,68
18,41,58,62,73
16,34,37,42,70
17,24,50,56,66
19,23,32,38,61
12,23,50,52,55
7,60,62,67,74
14,27,41,68,78
3,28,41,58,75
27,34,35,42,62
49,55,56,68,71
27,29,34,64,73
17,27,35,54,76
14,26,51,55,64
14,26,36,37,69
25,27,55,61,69
17,60,67,74,75
30,35,49,51,69
2,16,32,63,67
22,34,36,42,62
2,4,55,60,65
5,8,31,32,41
16,25,27,28,69
22,61,63,66,80
3,5,22,30,60
5,50,56,60,62
9,50,63,67,76
43,51,75,79,80
20,37,46,61,74
8,14,43,65,76
7,21,54,62,77
21,38,52,60,66
11,46,55,75,78
4,6,18,40,74
24,26,37,48,71
3,35,39,63,69
6,21,22,52,74
16,19,21,23,32
2,10,29,33,54
13,61,65,67,79
32,63,66,76,77
23,25,29,52,55
26,37,39,66,71
21,28,51,65,69
8,27,44,66,75
39,51,57,75,76
7,22,23,50,76
14,21,33,34,45
3,11,24,54,65
3,14,22,32,41
13,15,25,39,44
15,52,55,62,79
13,22,29,68,72
13,17,23,49,71
26,32,38,68,72
51,21,58,10,5
2,20,39,53,60
16,18,46,56,80
23,41,46,53,71
20,48,50,75,76
25,46,52,61,74
9,23,56,64,73
7,13,37,56,64
2,18,64,67,77
61,60,71,28,11
2,13,27,78,80
4,69,70,72,80
5,6,55,70,73
5,34,45,49,58
4,42,67,74,75
4,41,49,55,80
17,20,43,68,74
10,20,29,65,76
1,21,50,55,68
25,52,53,58,78
6,17,31,40,66
11,25,29,52,53
8,19,20,28,34
44,46,53,59,65
7,30,51,52,69
28,48,50,64,71
3,22,42,71,79
6,16,31,36,53
9,28,34,40,42
10,27,29,61,66
13,14,16,21,69
16,26,37,40,62
1,14,49,71,74
29,46,53,63,68
6,29,36,44,68
28,30,54,67,74
7,10,18,57,74
12,19,33,44,67
27,28,50,65,76
2,8,36,45,64
22,26,34,39,40
1,21,33,39,48
3,4,7,14,39
18,21,23,54,74
10,25,33,43,68
32,34,52,68,73
42,56,61,76,79
2,7,9,27,59
5,6,12,50,61
3,10,35,47,59
17,23,52,70,71
7,12,36,39,50
6,7,9,36,45
53,57,62,70,78
24,25,34,50,65
1,3,18,46,64
15,20,23,78,79
9,16,20,34,53
42,54,55,70,74
1,20,40,42,75
3,7,10,23,43
2,3,45,49,60
4,6,35,64,65
27,32,54,57,80
1,9,51,59,74
13,16,18,21,36
4,27,44,61,71
21,22,40,51,74
14,35,53,64,77
16,25,27,33,74
14,22,24,59,72
15,23,25,29,71
6,18,42,56,72
12,36,38,50,53
